i_d,regdate,first_name,last_name,homephone,email_address,street,city,state,zipcode
26,12/2/08,Michael,Panek,Dntisler@jumpstartlab.com,8013626000,1434 wilson ave.,Salt lake city,Ut,84105
841,1/17/09,Kate,Cebulski,Orazrya1@jumpstartlab.com,8015505000,1033 barbara pl apt 2,Salt lake city,Ut,84102
1933,1/21/09,Megan,Engel,Bgc64@jumpstartlab.com,8015505000,219 elizabeth st.,Salt lake city,Ut,84102
1940,1/21/09,Kristen,Gilbert,Tpollins6@jumpstartlab.com,8015505000,1343 ashwood circle,Salt lake city,Ut,84121
1950,1/21/09,Student,Myett,Wjang@jumpstartlab.com,8015505000,834 e. pond view way,Salt lake city,Ut,84106
1956,1/21/09,Adrienne,Xx,Rrthleen.oflaherty@jumpstartlab.com,8015505000,1213 medical plaza,Salt lake city,Ut,84121
1960,1/21/09,Eileen,Ludmer,Mhulger@jumpstartlab.com,8015505000,723 11th avenue,Salt lake city,Ut,84103
1966,1/21/09,Alex,Boozel,Jyhiang@jumpstartlab.com,8015505000,220 a street,Salt lake city,Ut,84103
1972,1/21/09,Susan,Berkley,Ceebst.4@jumpstartlab.com,8015505000,1033 barbara pl,Salt lake city,Ut,84102
1979,1/21/09,Emma,Kopkin,Sxcoffey@jumpstartlab.com,8015505000,1033 barbara pl,Salt lake city,Ut,84102
1988,1/21/09,Kate,Armacost,Hgle.saud@jumpstartlab.com,8015505000,1033 barbara pl,Salt lake city,Ut,84102
4246,2/1/09,Lindsey,Woolworth,Eoeal@jumpstartlab.com,8013594000,350 south 200 east #406,Salt lake city,Ut,84111
4718,2/1/09,Rich,Wynn,Vkrenzo.serna@jumpstartlab.com,8015505000,2887 wainwright road,Salt lake city,Ut,84109
