i_d,regdate,first_name,last_name,homephone,email_address,street,city,state,zipcode
1247,1/21/09,Alyssa,Abraham,Durnetta@jumpstartlab.com,2406455000,"3000 cathedral ave, nw",Washington,Dc,20008
2985,1/29/09,Ivey,Albeck,Bxll13@jumpstartlab.com,6035627000,"4425 reno road, nw",Washington,Dc,20008
876,1/19/09,Juliette,Alvarez,Luroberts05@jumpstartlab.com,9733323000,"2727 29th street nw, apt. 323",Washington,Dc,20008
3137,1/30/09,Maria,Amster,Ckongwer@jumpstartlab.com,000,155 indian avenue,Lawrence,Dc,66046
1414,1/21/09,Alejandro,Anderson,Sydy0314@jumpstartlab.com,9144417000,4400 massachusetts ave nw,Washington,Dc,20016
3158,1/30/09,Megan,Arene-morley,Fhanchan@jumpstartlab.com,2022977000,37th and o streets nw,Washington,Dc,20057
2936,1/29/09,Wesley,Aroneanu,Efraguza@jumpstartlab.com,9086723000,"2021 f st nw, potomac #1006",Washington,Dc,20052
1225,1/20/09,Lindsay,Aronoff,Aslissanypirg@jumpstartlab.com,2406455000,"3000 cathedral ave, nw",Washington,Dc,20008
1213,1/20/09,Zack,Astrove,Fkolfgan@jumpstartlab.com,2406455000,"3000 cathedral ave, nw",Washington,Dc,20008
1229,1/20/09,Jennifer,Avalos,Deiaz@jumpstartlab.com,4435044000,3168 17th st nw,Washington,Dc,20010
1459,1/21/09,Leah,Ayers,Vjstevens_2010@jumpstartlab.com,3016545000,"3825 wisconsin avenue, nw",Washington,Dc,20016
866,1/19/09,Jenna,B,Wdack.satin.feathers@jumpstartlab.com,9739021000,"2727 29th street nw, apt. 305",Washington,Dc,20008
126,12/11/08,Katie,Baimas-george,Svsullivan88@jumpstartlab.com,6085169000,1123 harvard st. unit r,Washington,Dc,20009
1232,1/20/09,Stephanie,Baird,Omani.sheva@jumpstartlab.com,2406455000,"3000 cathedral ave, nw",Washington,Dc,20008
1389,1/21/09,Jenny,Barrett,Ym1106a@jumpstartlab.com,5152314000,4201 massachusetts ave nw,Washington,Dc,20016
873,1/19/09,Erik,Beardsley,Ngangrpl@jumpstartlab.com,2017863000,"2727 29th street nw, apt. 232",Washington,Dc,20008
2072,1/21/09,Vanessa,Beckman,Leerry.finkel@jumpstartlab.com,9134063000,"620 21st street, nw, #201",Washington,Dc,66209
1236,1/20/09,Katey,Benders,Jdf28@jumpstartlab.com,2406455000,"3000 cathedral ave, nw",Washington,Dc,20008
4908,2/1/09,Laura,Bennett,Sqerson1@jumpstartlab.com,5408883000,1616 p street nw suite 340,Washington,Dc,20036
1221,1/20/09,Lauren,Berlin,Kff_wehrenjk@jumpstartlab.com,2406455000,"3000 cathedral ave, nw",Washington,Dc,20008
4561,2/1/09,Lindsay,Betancourt,Fkll11@jumpstartlab.com,2028823000,1507 gallatin street nw,"Washington, dc",Dc,20011
4640,2/1/09,Cameron,Bhalsod,Eoawrence2@jumpstartlab.com,7173397000,4400 massachusetts avenue,Washington,Dc,20016
4929,2/1/09,Mrinalini,Billman,Ihnwaax07@jumpstartlab.com,5408883000,1616 p street nw suite 340,Washington,Dc,20036
4623,2/1/09,Leila,Bischoff,Mkoodman@jumpstartlab.com,7814240000,4400 massachusetts avenue,Washington,Dc,20016
4750,2/1/09,Melissa,Bowling,Yim138@jumpstartlab.com,6312236000,736 22nd street rm 205,Washington dc,Dc,20052
4498,2/1/09,Kelley,Boyyyyy,Qswolf@jumpstartlab.com,2028851000,4400 massachusetts avenue,Washington,Dc,20016
4156,2/1/09,Dan,Bryant,Eyrzipan@jumpstartlab.com,5104527000,"1608 rhode island ave, nw",Washington,Dc,20036
860,1/19/09,Jeannie,Bryant,Kkserpe08@jumpstartlab.com,8457973000,"2727 29th street nw, apt 305",Washington,Dc,20008
3492,1/31/09,Skye,Bulis,Hecameri@jumpstartlab.com,2022138000,"1500 massachusetts ave, #546",Washington,Dc,20005
1257,1/21/09,Medina,Cao,Dkulger@jumpstartlab.com,2406455000,"3000 cathedral ave, nw",Washington,Dc,20008
4451,2/1/09,Aaron,Cappelli,Mwgan.foster@jumpstartlab.com,6103248000,4400 massachusetts avenue,Washington,Dc,20016
1253,1/21/09,Roxanne,Carbajo,Bxlegra.fonda-bonardi@jumpstartlab.com,2406455000,"3000 cathedral ave, nw",Washington,Dc,20008
4576,2/1/09,David,Cardinal,Ptodallm@jumpstartlab.com,4126137000,4400 massachusetts avenue,Washington,Dc,20016
2755,1/28/09,Sally,Carey,Apu.brazell@jumpstartlab.com,2023192000,"702 h st nw, ste 300",Washington,Dc,20001
1422,1/21/09,Samuel,Carpenter,Wsmanley@jumpstartlab.com,3016545000,"3825 wisconsin avenue, nw",Washington,Dc,20016
4151,2/1/09,Ethan,Chang,Hhhn.walker@jumpstartlab.com,5106101000,"1608 rhode island ave, nw",Washington,Dc,20036
362,12/19/08,Justin,Chinana,Ipesha226@jumpstartlab.com,4349891000,3321 16th st nw,Washington,Dc,20010
3678,1/31/09,Monica,Cormia,Ksf_hellerla@jumpstartlab.com,5163840000,"Georgetown university, village a f206",Washington,Dc,20057
5159,2/2/09,Allison,Coronado,Beblaaron01@jumpstartlab.com,8054481000,"2100 i street, nw, gw university – lafayette hall #403",Washington,Dc,20052
1452,1/21/09,Olivia,Costa,Blsmith@jumpstartlab.com,3016545000,"3825 wisconsin avenue, nw",Washington,Dc,20016
4154,2/1/09,Jason,Costantino,Efochner@jumpstartlab.com,6268406000,"1608 rhode island ave, nw",Washington,Dc,20036
4823,2/1/09,Jafar,Cotton,Hroon-van-diest.4@jumpstartlab.com,5408883000,1616 p. street nw suite 340,Washington,Dc,20036
838,1/17/09,Megan,Craig,Nslopuppet_o_o@jumpstartlab.com,9172806000,1409 37th st.,Washington,Dc,20007
1439,1/21/09,Jamie3,Crutcher,Ssckereg@jumpstartlab.com,3016545000,"3825 wisconsin avenue, nw",Washington,Dc,20016
1445,1/21/09,Meaghan,Cunningham,Njompsonswartz@jumpstartlab.com,3016545000,"3825 wisconsin avenue, nw",Washington,Dc,20016
4431,2/1/09,Mackenzie,Davila,Nmkokal@jumpstartlab.com,5417608000,4400 massachusetts avenue,Washington,Dc,00000
2927,1/29/09,Lisa,Davis,Hg@jumpstartlab.com,3016754000,4461 westover place,Washington,Dc,20016
4381,2/1/09,Nancy,Davis,Weey.wohlfeld@jumpstartlab.com,8452249000,Box 574262 georgetown university,Washington,Dc,04262
4584,2/1/09,Paul,Davison,Wcll16@jumpstartlab.com,3052835000,4400 massachusetts avenue,Washington,Dc,20016
2215,1/21/09,Vanessa,Dawson,Casusanrubin@jumpstartlab.com,8025982000,"950 24th st, nw, #816",Washington,Dc,20052
4426,2/1/09,Jeanna,De soto,Kce.chadcarson+4@jumpstartlab.com,2062618000,4400 massachusetts avenue,Washington,Dc,20016
1385,1/21/09,Ryan,Debuck,Ghyce_m@jumpstartlab.com,2406455000,3000 cathedral ave nw,Washington,Dc,20008
2857,1/29/09,Tamer,Deveau,Wgurns4@jumpstartlab.com,2029975000,1718 21st street nw,Washington,Dc,20009
3454,1/31/09,Chris,Doane,Kpilch1@jumpstartlab.com,9187069000,Copley g17 box 573539 georgetown university,Washington,Dc,20057
3647,1/31/09,Rei,Doe,Fuusso@jumpstartlab.com,8452249000,Box 573757,Washington,Dc,20057
871,1/19/09,Vax,Doe,Nyesoto@jumpstartlab.com,3153917000,2727 29th street nw,Washington,Dc,20008
4725,2/1/09,Cody,Doe,Tkstressneko.lily@jumpstartlab.com,7047378000,4400 massachusetts avenue,Washington,Dc,20016
1427,1/21/09,James,Doe,Nlhneenampudiyay@jumpstartlab.com,2674674000,4400 massachusetts ave nw,Washington,Dc,20016
2670,1/26/09,Julie,Doe,Hcilson@jumpstartlab.com,2403937000,1620 argonne place n.w.,Washington,Dc,20009
2709,1/27/09,Allison,Dolkart,Ieim19@jumpstartlab.com,6073466000,2021 f street nw,Washington,Dc,20052
2130,1/21/09,Karson,Dowd,Klotazewell@jumpstartlab.com,3472072000,"2222 eye street, nw, #303",Washington,Dc,20052
4493,2/1/09,Vanessa,Dube,Kmbrink08@jumpstartlab.com,4044886000,4400 massachusetts avenue,Washington,Dc,20016
4678,2/1/09,Erica,Duval,Uasample@jumpstartlab.com,6364899000,4400 massachusetts avenue,Washington,Dc,20016
4918,2/1/09,Caitlin,Easter,Ghel@jumpstartlab.com,3105698000,321 south carolina ave se,Washington,Dc,20003
4507,2/1/09,Chris,Edge,Pcickers@jumpstartlab.com,5039988000,4400 massachusetts avenue,Washington,Dc,20016
4487,2/1/09,Lauren,Elion,Phya_godwin@jumpstartlab.com,6265985000,"901 6th st. sw, apt 414a",Washington,Dc,20024
351,12/19/08,Nate,Endres,Rmaiorana@jumpstartlab.com,3109024000,3332 quesada st.,Nw,Dc,20015
3003,1/30/09,Alison,England,Wlutko@jumpstartlab.com,5084046000,1673 columbia rd. nw apt. 400,Washington,Dc,20009
1428,1/21/09,Josh,Evarts,Bnaci@jumpstartlab.com,3016545000,"3825 wisconsin avenue, nw",Washington,Dc,20016
